Area,Dredge no,Station no. ,1 (inside),2 (inside),3 (outside),4 (outside)
35,1,1,na,na,na,na
35,1,2,222,1600,650,1600
35,1,3,300,300,73.8,450
35,1,4,na,na,na,na
35,2,1,na,na,na,na
35,2,2,na,na,na,na
35,2,3,na,na,na,na
35,2,4,na,na,na,na
35,3,1,219.5,99.9,68,12.4
35,3,2,92.5,1058,854,985
35,3,3,583,49,93,98.7
35,3,4,25,0,2801,2437
35,4,1,na,na,na,na
35,4,2,73,702,2535,3410
35,4,3,83,700,2875,735
35,4,4,na,na,na,na
39,1,1,1428,1386,4960,4460
39,1,2,423,5511,5503,5637
39,1,3,5134,2858,5507,5730
39,1,4,na,na,na,na
39,2,1,67.9,950,3980,4409
39,2,2,955,564,5037,6100
39,2,3,4730,6000,6408,5570
39,2,4,na,na,na,na
39,3,1,200.9,9.1,4752,6406
39,3,2,0,0,4930,6372
39,3,3,1859.2,2936,2963,4320
39,3,4,na,na,na,na
39,4,1,2050,2950,3200,400
39,4,2,1650,950,4750,5000
39,4,3,3750,4250,5500,6700
39,4,4,na,na,na,na
